ID,Greek,Declension,Article,English,Note,Transliteration,Type,Frequency,Tag
1,ἄνθρωπος,-ου,ὁ,a man,anthropology,anthrōpos,Noun,550,500+
2,ἀπό,,,(+ gen.) from,"apostasy, standing [στῆναι] off from",apo,Preposition,646,500+
3,αὐτός,"-ή, -ό",,"himself, herself, itself, same; he, she, it","autosoterism, the doctrine that man is saved by his own efforts or character",autos,Pronoun,5597,500+
4,γάρ,,,for,,gar,Conjunction,1041,500+
5,γίνομαι,,,"I become, am",,ginomai,Verb,669,500+
6,δέ,,,"but, and",,de,Particle,2792,500+
7,διά,,,(+ gen.) through; (+ acc.) on account of,"diameter, measure across or through",dia,Preposition,667,500+
8,ἐγώ,,,I,egotism,egō,Pronoun,2666,500+
9,εἰμί,,,I am,,eimi,Verb,2462,500+
10,εἶπον,,,I said,cf. epic,eipon,Verb,986,500+
11,εἰς,,,(+ acc.) into,"eisegesis, faulty interpretation of a text by reading into it one’s own ideas",eis,Preposition,1767,500+
12,ἐκ,ἐξ,,"(+ gen.) out of, from","ecstasy, state of being [literally, standing, στῆναι] out of one’s senses; exodus, a going [literally, a way, ὁδός] out",ek,Preposition,914,500+
13,ἐν,,,(+ dat.) in,"enthusiast, one possessed or inspired by a god [ἔνθεος]",en,Preposition,2752,500+
14,ἐπί,,,"(+ gen.) over, on, at the time of; (+ dat.) on the basis of, at; (+ acc.) on, to, against","epidermis, upon the skin [δέρμα]",epi,Preposition,890,500+
15,ἔρχομαι,,,"I come, go",,erchomai,Verb,634,500+
16,ἔχω,,,"I have, hold",,echō,Verb,708,500+
17,θεός,-οῦ,ὁ,"a god, God",theology,theos,Noun,1317,500+
18,ἵνα,,,"in order that, that",,hina,Conjunction,663,500+
19,καί,,,"and, even, also",,kai,Conjunction,9161,500+
20,κατά,,,"(+ gen.) down from, against; (+ acc.) according to, throughout, during","cataclysm, a washing down or against",kata,Preposition,500,500+
21,κύριος,-ου,ὁ,"a lord, the Lord",,kyrios,Noun,717,500+
22,λέγω,,,"I say, speak",all words ending in -ologue or -ology,legō,Verb,2354,500+
23,μή,,,"not, lest",,mē,Particle,1042,500+
24,ὁ,"ἡ, τό",,the,,ho,Definite Article,19867,500+
25,ὅς,"ἥ, ὅ",,"who, which",,hos,Relative pronoun,1398,500+
26,ὅτι,,,"that, because",,hoti,Conjunction,1296,500+
27,οὗτος,"αὕτη, τοῦτο",,"this; he, her, it",,houtos,Near Demonstrative Pronoun,1387,500+
28,οὐ,"οὐκ, οὐχ",,not,"utopia, no place [τόπος]",ou,Negation Particle,1606,500+
29,πᾶς,"πᾶσα, πᾶν",,"every, all",Pan-American,pas,Adjective,1243,500+
30,ποιέω,,,"I do, make","poem; pharmacopoeia, making of drugs",poieō,Verb,568,500+
31,πρός,,,"(+ acc.) to, towards, with","proselyte, one who has come [root of ἐλθεῖν] to another religion",pros,Preposition,700,500+
32,σύ,,,thou,,sy,Pronoun,2907,500+
33,τίς,τί,,who? what? which? why?,,tis,Interrogative Pronoun,556,500+
34,τις,τι,,"someone, something, a certain one, a certain thing, anyone, anything",,tis,Indefinite Pronoun,556,500+
35,ὡς,,,"as, that, how, about",,hōs,Particle or Conjunction,504,500+
36,ἅγιος,"-α, -ον",,"holy; plural as a noun, saints","Hagiographa, books of the Hebrew Scriptures not included under Law and Prophets",hagios,Adjective,233,201 - 500
37,ἀδελφός,-οῦ,ὁ,brother,"Philadelphia, [city of] brotherly love [φιλία]",adelphos,Noun,343,201 - 500
38,ἀκούω,,,I hear,acoustics,akouō,Verb,428,201 - 500
39,ἀλλά,,,"but, except",,alla,Particle,500,201 - 500
40,ἀνήρ,ἀνδρός,ὁ,a man,"polyandry, having many husbands",anēr,Noun,216,201 - 500
41,ἀποκρίνομαι,,,I answer,,apokrinomai,Verb,231,201 - 500
42,γῆ,γῆς,ἡ,the earth,geopolitics,gē,Noun,250,201 - 500
43,γινώσκω,,,"I come to know, learn, know, realize",,ginōskō,Verb,222,201 - 500
44,γυνή,γυναικός,ἡ,"a woman, wife","misogynist, a woman-hater [μισέω]",gynē,Noun,215,201 - 500
45,δίδωμι,,,I give,antidote,didōmi,Verb,415,201 - 500
46,δύναμαι,,,"I am powerful, able",cf. dynamite,dynamai,Verb,210,201 - 500
47,ἐάν,,,if,,ean,Particle or Conjunction,351,201 - 500
48,ἑαυτοῦ,,,of himself,,heautou,Pronoun,337,201 - 500
49,εἰ,,,if,,ei,Particle,500,201 - 500
50,εἶδον,,,I saw,idea,eidon,Verb,454,201 - 500
51,εἶς,"μία, ἕν",,one,"henotheism, belief in one God without asserting that he is the only God",eis,Adjective,500,201 - 500
52,ἐκεῖνος,"-η, -ο",,that,,ekeinos,Pronoun,265,201 - 500
53,ἐξέρχομαι,,,I go out,,exerchomai,Verb,218,201 - 500
54,ἤ,,,or,,ē,Particle,343,201 - 500
55,ἡμέρα,-ας,ἡ,a day,"ephemeral, for [ἐφʼ (= ἐπί)] a day",hēmera,Noun,389,201 - 500
56,θέλω,,,"I will, wish, desire","Monothelite, one who holds that Christ has but one will, the divine; condemned by the Sixth General Council, A.D. 680",thelō,Verb,208,201 - 500
57,λαλέω,,,I speak,"cf. glossolalia, the gift of speaking in tongues [1 Cor. 14]",laleō,Verb,296,201 - 500
58,λαμβάνω,,,"I take, receive","epilepsy, a taking or seizing upon",lambanō,Verb,258,201 - 500
59,λόγος,-ου,ὁ,"a word, the Word",logic,logos,Noun,330,201 - 500
60,μαθητής,-οῦ,ὁ,a disciple,,mathētēs,Noun,261,201 - 500
61,μετά,,,(+ gen.) with; (+ acc.) after,"metaphysics, beyond or after [Aristotle’s treatise on] physics",meta,Preposition,469,201 - 500
62,οἶδα,,,I know,,oida,Verb,318,201 - 500
63,ὄνομα,-ατος,τό,a name,"onomatopoeia, making [ποιεῖν] a name or word [in imitation of natural sounds], as ‘buzz’",onoma,Noun,231,201 - 500
64,οὐδείς,"οὐδεμία, οὐδέν",,"no one, none, nothing, no",,oudeis,Adjective,234,201 - 500
65,οὖν,,,"therefore, then, accordingly",,oun,Particle,499,201 - 500
66,οὐρανός,-οῦ,ὁ,heaven,the planet Uranus; the element uranium,ouranos,Noun,273,201 - 500
67,οὕτως,,,thus,,houtōs,Adverb,208,201 - 500
68,πατήρ,πατρός,ὁ,father,akin to paternal,patēr,Noun,413,201 - 500
69,περί,,,"(+ gen.) concerning, about; (+ acc.) around","perimeter, measure around",peri,Preposition,333,201 - 500
70,πιστεύω,,,"I have faith (in), believe",,pisteuō,Verb,241,201 - 500
71,πίστις,-εως,ἡ,"faith, belief, trust",,pistis,Noun,243,201 - 500
72,πνεῦμα,-ατος,τό,"a spirit, the Spirit","pneumatology, the doctrine of the Holy Spirit",pneuma,Noun,379,201 - 500
73,πολύς,"πολλή, πολύ",,"much; plural, many",polytheism,polys,Adjective,416,201 - 500
74,υἱός,-οῦ,ὁ,a son,,huios,Noun,377,201 - 500
75,ὑπό,,,(+ gen.) by; (+ acc.) under,"hypodermic, under the skin [δέρμα]",hypo,Preposition,220,201 - 500
76,ἄγγελος,-ου,ὁ,"a messenger, an angel",angel,angelos,Noun,175,151 - 200
77,ἁμαρτία,-ας,ἡ,"a sin, sin","hamartiology, the doctrine of sin",hamartia,Noun,173,151 - 200
78,ἄν,,,"an untranslatable word, the effect of which is to make a statement contingent which would otherwise be definite",,an,Particle,166,151 - 200
79,βασιλεία,-ας,ἡ,a kingdom,,basileia,Noun,162,151 - 200
80,γράφω,,,I write,"palaeography, the study of ancient [παλαιός] writing",graphō,Verb,191,151 - 200
81,δόξα,-ης,ἡ,glory,doxology,doxa,Noun,166,151 - 200
82,ἔθνος,-ους,τό,"a nation; plural, the Gentiles",ethnology,ethnos,Noun,162,151 - 200
83,εἰσέρχομαι,,,"I go or come in or into, enter",,eiserchomai,Verb,194,151 - 200
84,ἔργον,-ου,τό,work,energy,ergon,Noun,169,151 - 200
85,ἐσθίω,,,I eat,akin to edible,esthiō,Verb,158,151 - 200
86,εὑρίσκω,,,"I find (heuristic, the method in education by which a pupil is set to find out things for himself; eureka, ‘I have found [it]!’—Archimedes",,heuriskō,Verb,176,151 - 200
87,ἰδού,,,see! behold!,,idou,Verb,200,151 - 200
88,ἵστημι,,,"I cause to stand, I stand",akin to stand,histēmi,Verb,155,151 - 200
89,καθώς,,,"as, even as",,kathōs,Adverb,182,151 - 200
90,καρδία,-ας,ἡ,the heart,cardiac,kardia,Noun,156,151 - 200
91,κόσμος,ου,ὁ,the world,"cosmic, cosmos",kosmos,Noun,186,151 - 200
92,μέγας,"μεγάλη, μέγα",,"large, great","megaphone; omega [literally, great ‘o’]",megas,Adjective,200,151 - 200
93,μέν,,,"postpositive particle, on the one hand, indeed",often it is better left untranslated and its presence shown by stress of the voice and by translating a following δέ by ‘but’,men,Particle,179,151 - 200
94,νεκρός,"-ά, -όν",,"dead; as a noun, a dead body, a corpse","necropolis, city of the dead, a cemetery",nekros,Adjective,151,151 - 200
95,νόμος,-ου,ὁ,"a law, the Law","Deuteronomy, the second [statement of the] law",nomos,Noun,194,151 - 200
96,ὅστις,"ἥτις, ὅτι",,"whoever, whichever, whatever",,hostis,Pronoun,153,151 - 200
97,ὄχλος,-ου,ὁ,"a crowd, multitude","ochlocracy, mob-rule",ochlos,Noun,175,151 - 200
98,παρά,,,"(+ gen.) from; (+ dat.) beside, in the presence of; (+ acc.) alongside of","paragraph, originally, in manuscripts, a stroke or line drawn in the margin beside the column of writing to mark the division of sections",para,Preposition,194,151 - 200
99,πόλις,-εως,ἡ,a city,"Neapolis, ‘New City,’ Acts 16:11; Constantinople, Constantine’s City",polis,Noun,162,151 - 200
100,πορεύομαι,,,"I go, proceed",,poreuomai,Verb,153,151 - 200
101,τε,,,and,"an enclitic connective particle, weaker in force than καί",te,Particle,200,151 - 200
102,τότε,,,"then, at that time",,tote,Adverb,160,151 - 200
103,ὑπέρ,,,(+ gen.) in behalf of; (+ acc.) above,hypercritical,hyper,Preposition,151,151 - 200
104,χάρις,-ιτος,ἡ,grace,"Charissa, [girl’s name]",charis,Noun,155,151 - 200
105,χείρ,χειρός,ἡ,a hand,"chirography, handwriting",cheir,Noun,177,151 - 200
106,ἀγαπάω,,,I love,,agapaō,Verb,143,121 - 150
107,αἰών,-ῶνος,ὁ,an age,aeon,aiōn,Noun,122,121 - 150
108,ἄλλος,"-η, -ο",,"other, another","allegory, description of one thing under the image of another",allos,Adjective,150,121 - 150
109,ἀμήν,,,"verily, truly, amen",amen,amēn,Particle,129,121 - 150
110,ἀποστέλλω,,,I send,with a commission) (cf. Apostle,apostellō,Verb,132,121 - 150
111,ἀρχιερεύς,-έως,ὁ,"chief priest, high priest",,archiereus,Noun,122,121 - 150
112,ἀφίημι,,,"I let go, permit, forgive","aphesis, the gradual loss of a short unaccented initial vowel, as ‘squire’ for ‘esquire’",aphiēmi,Verb,143,121 - 150
113,βάλλω,,,"I throw, put","ballistics, the science of the motion of projectiles",ballō,Verb,122,121 - 150
114,βλέπω,,,I see,,blepō,Verb,133,121 - 150
115,δοῦλος,-ου,ὁ,a slave,,doulos,Noun,124,121 - 150
116,δύο,,,two,dyad,dyo,Adjective,135,121 - 150
117,ἐγείρω,,,I raise up,,egeirō,Verb,144,121 - 150
118,ἕως,,,until; (+ gen.) as far as,,heōs,Preposition,146,121 - 150
119,ζάω,,,I live,,zaō,Verb,140,121 - 150
120,ζωή,-ῆς,ἡ,life,Zoe [girl’s name],zōē,Noun,135,121 - 150
121,καλέω,,,"I call, name, invite",,kaleō,Verb,148,121 - 150
122,λαός,-οῦ,ὁ,a people,laity,laos,Noun,142,121 - 150
123,νῦν,,,now,,nyn,Adverb,147,121 - 150
124,ὅταν,,,whenever,,hotan,Particle,123,121 - 150
125,οὐδέ,,,"and not, not even, neither, nor",,oude,Conjunction,143,121 - 150
126,πάλιν,,,again,"palimpsest, a manuscript which has been used again, the earlier writing having been erased [ψῆν, to scrape or erase]",palin,Adverb,141,121 - 150
127,παραδίδωμι,,,"I hand over, betray",,paradidōmi,Verb,121,121 - 150
128,προφήτης,-ου,ὁ,a prophet,prophet,prophētēs,Noun,144,121 - 150
129,σάρξ,σαρκός,ἡ,flesh,"sarcophagus, a [stone] coffin which ‘eats’ [φαγεῖν] the contents",sarx,Noun,147,121 - 150
130,σύν,,,(+ dat.) with,"syntax., sentence construction, involving grammatical arrangement [τάσσειν] of words with one another",syn,Preposition,128,121 - 150
131,σῶμα,-ατος,τό,a body,somatic,sōma,Noun,142,121 - 150
132,φωνή,-ῆς,,"a sound, voice",phonetic,phōnē,Noun,139,121 - 150
133,ἀγαθός,"-ή, -όν",,good,Agatha,agathos,Adjective,102,101 - 120
134,ἀγάπη,-ης,ἡ,love,,agapē,Noun,116,101 - 120
135,ἀλήθεια,-ας,ἡ,truth,,alētheia,Noun,109,101 - 120
136,ἀνίστημι,,,I cause to rise; I arise,,anistēmi,Verb,108,101 - 120
137,ἀπέρχομαι,,,I depart,,aperchomai,Verb,117,101 - 120
138,ἀποθνῄσκω,,,I die,,apothnēskō,Verb,111,101 - 120
139,βασιλεύς,-έως,ὁ,a king,Basil,basileus,Noun,115,101 - 120
140,δεῖ,,,it is necessary,,dei,Verb,101,101 - 120
141,δύναμις,-εως,ἡ,power,dynamite,dynamis,Noun,119,101 - 120
142,ἐκκλησία,-ας,ἡ,"assembly, congregation, a church, the Church",ecclesiastic,ekklēsia,Noun,114,101 - 120
143,ἐξουσία,-ας,ἡ,authority,,exousia,Noun,102,101 - 120
144,ζητέω,,,I seek,,zēteō,Verb,117,101 - 120
145,θάνατος,-ου,ὁ,death,"thanatopsis, a view of, or meditation on, death",thanatos,Noun,120,101 - 120
146,ἴδιος,"-α, -ον",,one’s own,idiosyncrasy,idios,Adjective,114,101 - 120
147,κρίνω,,,"I judge, decide",critic,krinō,Verb,114,101 - 120
148,μέλλω,,,I am about to,,mellō,Verb,109,101 - 120
149,μένω,,,I remain,akin to permanent,menō,Verb,118,101 - 120
150,ὁδός,-οῦ,ἡ,"a way, road, journey,","anode, cathode, electrical terminals",hodos,Noun,101,101 - 120
151,οἷκος,-ου,ὁ,a house,"economy, household management",hoikos,Noun,114,101 - 120
152,ὅλος,"-η, -ον",,whole,holocaust,holos,Adjective,109,101 - 120
153,ὁράω,,,I see,"cf. panorama [πᾶν, all + ὅραμα, a view]",horaō,Verb,120,101 - 120
154,ὅσος,"-η, -ον",,"as great as, as many as",,hosos,Adjective,110,101 - 120
155,ὅτε,,,when,,hote,Particle,103,101 - 120
156,παρακαλέω,,,"I beseech, exhort, console","Paraclete, the Comforter, Helper, Advocate, or Counselor",parakaleō,Verb,109,101 - 120
157,πῶς,,,how?,,pōs,Particle,103,101 - 120
158,σῴζω,,,I save,"in biochemistry, sozin, any defensive protein in the animal body",sōzō,Verb,106,101 - 120
159,ψυχή,-ῆς,ἡ,"soul, life, self",all words beginning with psycho-,psychē,Noun,103,101 - 120
160,ὥρα,-ας,ἡ,an hour,"horoscope, prediction based on the observation of the hour of one’s birth",hōra,Noun,106,101 - 120
161,αἶμα,-ατος,τό,blood,"anaemia, without blood; haemoglobin",aima,Noun,97,91 - 100
162,αἴρω,,,"I take up, take away",,airō,Verb,100,91 - 100
163,ἀλλήλων,,,of one another,"parallel, beside [παρʼ] one another",allēlōn,Pronoun,100,91 - 100
164,ἄρτος,-ου,ὁ,"bread, a loaf",,artos,Noun,97,91 - 100
165,γεννάω,,,I beget,"cf. hydrogen, so called as being considered the generator of water [ὕδωρ]",gennaō,Verb,97,91 - 100
166,διδάσκω,,,I teach,cf. didactic,didaskō,Verb,97,91 - 100
167,δικαιοσύνη,-ης,ἡ,righteousness,,dikaiosynē,Noun,92,91 - 100
168,εἰρήνη,-ης,ἡ,peace,Irene,eirēnē,Noun,92,91 - 100
169,ἐκεῖ,,,there,,ekei,Adverb,100,91 - 100
170,ἐρῶ,,,I shall say,,erō,Verb,100,91 - 100
171,ἕτερος,"-α, -ον",,"other, another, different",heterodoxy,heteros,Adjective,98,91 - 100
172,θάλασσα,-ης,ἡ,the sea,thalassic,thalassa,Noun,91,91 - 100
173,καλός,"-ή, -όν",,"beautiful, good","kaleidoscope [εἶδος, form + σκοπεῖν, to behold]",kalos,Adjective,100,91 - 100
174,οἰκία,-ας,ἡ,a house,,oikia,Noun,93,91 - 100
175,οὔτε,,,"neither, nor",,oute,Adverb,91,91 - 100
176,ὀφθαλμός,-οῦ,ὁ,an eye,ophthalmology,ophthalmos,Noun,100,91 - 100
177,περιπατέω,,,I walk; I live,peripatetics,peripateō,Verb,95,91 - 100
178,πούς,ποδός,ὁ,a foot,podium,pous,Noun,93,91 - 100
179,πρῶτος,"-η, -ον",,first,all words beginning with proto-,prōtos,Adjective,100,91 - 100
180,τέκνον,-ου,τό,a child,,teknon,Noun,99,91 - 100
181,τίθημι,,,I place,cf. antithesis,tithēmi,Verb,100,91 - 100
182,τόπος,-ου,ὁ,a place,"topography, topic",topos,Noun,94,91 - 100
183,φοβέομαι,,,I fear,cf. phobia,phobeomai,Verb,95,91 - 100
184,ἀκολουθέω,,,I follow,"cf. acolyte, the assistant who carries the wine and water and the lights at the celebration of the Mass, attending or following the priest",akoloutheō,Verb,90,81 - 90
185,ἀναβαίνω,,,I go up,Anabasis,anabainō,Verb,82,81 - 90
186,ἀπόλλυμι,,,"I destroy; middle, I perish","Apollyon, the angel of the bottomless pit, Rev. 9:11",apollymi,Verb,90,81 - 90
187,ἄρχω,,,"I rule; in the New Testament almost always middle, I begin",,archō,Verb,86,81 - 90
188,ἕκαστος,"-η, -ον",,each,,hekastos,Adjective,82,81 - 90
189,ἐκβάλλω,,,I cast out,,ekballō,Verb,81,81 - 90
190,ἐνώπιον,,,(+ gen.) before,,enōpion,Preposition,90,81 - 90
191,ἔτι,,,"still, yet, even",,eti,Adverb,90,81 - 90
192,κάθημαι,,,I sit,,kathēmai,Verb,90,81 - 90
193,καιρός,-οῦ,ὁ,"time, an appointed time, season",,kairos,Noun,85,81 - 90
194,μηδείς,"μηδεμία, μηδέν",,no one,,mēdeis,Adjective,90,81 - 90
195,μήτηρ,μητρός,ἡ,a mother,akin to maternal,mētēr,Noun,83,81 - 90
196,ὅπου,,,"where, whither",,hopou,Particle,82,81 - 90
197,πίπτω,,,I fall,,piptō,Verb,90,81 - 90
198,πληρόω,,,"I fill, fulfill",,plēroō,Verb,86,81 - 90
199,προσέρχομαι,,,I come to,,proserchomai,Verb,86,81 - 90
200,προσεύχομαι,,,I pray,,proseuchomai,Verb,85,81 - 90
201,ὥστε,,,so that,,hōste,Particle,83,81 - 90
202,αἰτέω,,,I ask,,aiteō,Verb,71,71 - 80
203,ἀνοίγω,,,I open,,anoigō,Verb,77,71 - 80
204,ἀποκτείνω,,,I kill,,apokteinō,Verb,74,71 - 80
205,ἀπόστολος,-ου,ὁ,an Apostle,Apostle,apostolos,Noun,80,71 - 80
206,βαπτίζω,,,I baptize,baptize,baptizō,Verb,77,71 - 80
207,δίκαιος,"-α, -ον",,"right, just, righteous",,dikaios,Adjective,79,71 - 80
208,δώδεκα,,,twelve,dodecagon,dōdeka,Adjective,75,71 - 80
209,ἐμός,"ἐμή, ἐμόν",,"my, mine",,emos,Adjective,76,71 - 80
210,ἑπτά,,,seven,heptagon,hepta,Adjective,80,71 - 80
211,εὐαγγέλιον,-ου,τό,good news,"of the coming of the Messiah), the Gospel (Evangel",euangelion,Noun,76,71 - 80
212,ἱερόν,-οῦ,τό,a temple,cf. hierarchy,hieron,Noun,71,71 - 80
213,καταβαίνω,,,I go down,,katabainō,Verb,80,71 - 80
214,κεφαλή,-ῆς,ἡ,head,cephalic,kephalē,Noun,75,71 - 80
215,μᾶλλον,,,"more, rather",,mallon,Adverb,80,71 - 80
216,μαρτυρέω,,,"I bear witness, testify",cf. martyr,martyreō,Verb,76,71 - 80
217,πέμπω,,,I send,,pempō,Verb,79,71 - 80
218,πίνω,,,I drink,cf. potion,pinō,Verb,73,71 - 80
219,πονηρός,"-ά, -όν",,evil,,ponēros,Adjective,78,71 - 80
220,πρόσωπον,-ου,τό,face,"prosopography, description of the face or personal appearance",prosōpon,Noun,76,71 - 80
221,πῦρ,πυρός,τό,fire,pyre,pyr,Noun,71,71 - 80
222,σημεῖον,-ου,τό,a sign,"cf. semaphore, bearing [φέρειν] a sign",sēmeion,Noun,77,71 - 80
223,στόμα,-ατος,τό,a mouth,stomach,stoma,Noun,78,71 - 80
224,τηρέω,,,I keep,,tēreō,Verb,71,71 - 80
225,ὕδωρ,ὕδατος,τό,water,hydrophobia; dropsy [formerly hydropsy],hydōr,Noun,76,71 - 80
226,ὑπάγω,,,I depart,,hypagō,Verb,79,71 - 80
227,φῶς,φωτός,τό,light,"photography, writing [γράφειν] with light",phōs,Noun,73,71 - 80
228,χαίρω,,,I rejoice,,chairō,Verb,74,71 - 80
229,ἀγαπητός,"-ή, -όν",,beloved,,agapētos,Adjective,61,61 - 70
230,ἄγω,,,I lead,,agō,Verb,67,61 - 70
231,αἰώνιος,-ον,,eternal,aeonian,aiōnios,Adjective,70,61 - 70
232,ἀπολύω,,,I release,,apolyō,Verb,66,61 - 70
233,γραμματεύς,-έως,ὁ,a scribe,cf. grammatical,grammateus,Noun,63,61 - 70
234,δαιμόνιον,-ου,τό,a demon,demon,daimonion,Noun,63,61 - 70
235,δοκέω,,,I think; seem,"Docetism, the early heresy that Christ’s body was phantasmal or of celestial substance which merely seemed human",dokeō,Verb,62,61 - 70
236,ἐντολή,-ῆς,ἡ,a commandment,,entolē,Noun,67,61 - 70
237,ἔξω,,,without; (+ gen.) outside,,exō,Preposition,63,61 - 70
238,θέλημα,-ατος,τό,will,"Monothelite, one who holds that Christ had but one will, the divine; condemned by the Sixth General Council, A.D. 680",thelēma,Noun,62,61 - 70
